Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
580,683,1138,713,629,1213,557,815,817,246,278,699,573,811,418,2138,520,1252,693,1940
580,683,1020,831,629,1191,571,823,805,258,278,699,647,789,418,2154,515,1231,693,1956
628,680,1022,832,532,1288,548,846,793,270,278,689,665,715,496,2127,515,1226,698,1986
636,680,1020,834,482,1338,538,856,793,229,319,689,680,651,555,2080,515,1235,700,1955
695,655,867,1012,482,941,876,915,783,239,319,687,675,742,561,2049,480,1142,700,1939
697,715,878,1021,482,941,869,922,783,239,319,677,632,733,563,2049,480,1159,705,1940
758,747,860,1044,367,1017,908,922,782,240,319,677,572,594,563,2034,479,1172,696,1940
782,752,842,1062,219,1114,959,922,591,431,307,689,539,607,563,1984,465,1242,696,1939
776,784,772,1132,219,929,1144,922,573,444,247,680,486,619,565,1742,535,1354,614,1883
885,934,771,1113,223,898,1191,877,591,339,374,667,482,629,592,1731,494,1467,614,1661
851,995,771,1113,223,879,1160,906,516,427,374,660,520,592,592,1697,512,1467,470,1347
927,990,527,1363,223,866,1173,906,510,433,354,680,518,592,624,1406,551,1550,469,1181
929,977,434,1469,223,842,1197,906,500,417,380,680,542,616,673,1228,611,1616,469,1182
929,969,358,1553,82,933,1247,736,634,446,387,680,569,499,717,1123,631,1650,481,1139
947,976,358,1539,88,803,1385,653,717,446,387,672,593,481,695,1132,631,1643,481,765
946,977,184,1666,124,782,1384,682,721,446,387,672,593,440,680,1141,713,1642,481,683
947,961,118,1748,124,782,1384,635,768,446,387,672,593,438,678,1144,796,1483,413,624
924,928,174,1748,122,681,1487,598,805,442,391,634,499,457,501,1209,788,1503,415,415
906,927,193,1748,122,656,1512,528,875,441,384,642,607,452,492,1188,801,1409,414,316
993,739,381,1736,134,642,1428,520,958,464,357,645,619,399,432,1005,812,1355,221,296
1105,490,630,1682,188,591,1468,517,950,486,346,629,666,326,409,953,856,1303,226,274
1122,489,609,1670,222,591,1468,382,1056,515,345,606,671,317,409,935,898,1297,226,293
1128,485,613,1391,501,591,1468,327,1104,522,311,640,668,317,409,935,898,1228,200,293
1196,421,677,1391,482,608,1470,302,977,674,247,704,668,275,409,872,844,1244,246,291
1279,416,682,1391,465,624,1456,317,977,674,230,721,699,275,409,849,715,1164,259,291
1278,423,682,1390,465,625,1456,317,976,675,230,595,699,274,409,731,562,1110,312,281
1278,422,683,1390,461,629,1456,317,964,687,230,502,689,228,409,702,559,1242,291,255
1320,422,683,1376,475,629,1346,427,960,691,230,386,689,218,415,515,559,1276,420,279
1292,485,683,1320,531,629,1341,432,889,762,224,336,687,218,433,504,559,1290,695,330
1293,485,683,1239,612,629,1341,432,829,822,224,314,677,216,549,504,536,1181,816,343
1213,565,683,1234,617,629,1341,432,818,832,225,314,677,216,648,469,536,1251,847,355
1198,580,683,1138,713,629,1213,557,815,817,246,278,689,216,612,479,535,1263,850,311
1242,580,683,1020,831,629,1191,571,823,805,258,278,680,272,612,437,535,1249,850,295
1194,628,680,1022,832,532,1288,548,846,793,270,278,667,356,534,338,535,1247,864,265
1186,636,680,1020,834,482,1338,538,856,793,229,319,660,440,475,331,535,1271,980,290
1127,695,655,867,1012,482,941,876,915,783,239,319,680,344,477,331,537,1272,1141,382
1045,697,715,878,1021,482,941,869,922,783,239,319,680,344,574,387,537,1240,1136,384
947,758,747,860,1044,367,1017,908,922,782,240,319,680,344,587,412,552,1227,1132,384
918,782,752,842,1062,219,1114,959,922,591,431,307,672,346,587,511,564,1157,1132,385
892,776,784,772,1132,219,929,1144,922,573,444,247,672,365,608,509,493,1046,1139,385
633,885,934,771,1113,223,898,1191,877,591,339,374,672,402,581,524,496,903,1158,390
606,851,995,771,1113,223,879,1160,906,516,427,374,634,419,585,530,547,962,1317,393
529,927,990,527,1363,223,866,1173,906,510,433,354,642,419,553,572,508,918,1478,482
527,929,977,434,1469,223,842,1197,906,500,417,380,645,395,588,619,496,884,1559,516
527,929,969,358,1553,82,933,1247,736,634,446,387,629,411,567,624,609,854,1617,523
502,947,976,358,1539,88,803,1385,653,717,446,387,606,411,567,758,763,869,1620,523
627,946,977,184,1666,124,782,1384,682,721,446,387,640,411,565,841,681,869,1625,513
705,947,961,118,1748,124,782,1384,635,768,446,387,704,433,521,875,598,870,1632,512
803,924,928,174,1748,122,681,1487,598,805,442,391,721,441,521,1048,582,946,1633,512
832,906,927,193,1748,122,656,1512,528,875,441,384,595,428,522,1354,569,939,1622,543
757,993,739,381,1736,134,642,1428,520,958,464,357,502,433,522,1398,558,948,1600,590
714,1105,490,630,1682,188,591,1468,517,950,486,346,386,433,522,1532,514,1147,1671,633
707,1122,489,609,1670,222,591,1468,382,1056,515,345,336,485,538,1532,472,1391,1671,611
777,1128,485,613,1391,501,591,1468,327,1104,522,311,314,485,576,1532,472,1343,1691,611
709,1196,421,677,1391,482,608,1470,302,977,674,247,314,486,577,1532,472,1240,1641,628
704,1279,416,682,1391,465,624,1456,317,977,674,230,278,517,660,1532,472,1221,1668,665
706,1278,423,682,1390,465,625,1456,317,976,675,230,278,517,683,1532,472,1222,1615,680
735,1278,422,683,1390,461,629,1456,317,964,687,230,278,532,703,1532,472,1104,1602,675
731,1320,422,683,1376,475,629,1346,427,960,691,230,319,538,901,1532,472,1070,1451,635
698,1292,485,683,1320,531,629,1341,432,889,762,224,319,578,1050,1527,472,1056,1158,589
704,1293,485,683,1239,612,629,1341,432,829,822,224,319,578,1017,1528,472,1020,1037,582
712,1213,565,683,1234,617,629,1341,432,818,832,225,319,578,985,1521,472,898,1006,588
712,1198,580,683,1138,713,629,1213,557,815,817,246,307,578,1026,1493,507,881,1001,592
668,1242,580,683,1020,831,629,1191,571,823,805,258,247,522,1079,1489,517,868,1001,590
746,1194,628,680,1022,832,532,1288,548,846,793,270,374,515,1118,1489,517,871,982,607
904,1186,636,680,1020,834,482,1338,538,856,793,229,374,513,1127,1489,517,851,865,582
959,1127,695,655,867,1012,482,941,876,915,783,239,354,506,1179,1517,563,863,705,490
1014,1045,697,715,878,1021,482,941,869,922,783,239,380,650,1086,1506,586,868,705,487
1015,947,758,747,860,1044,367,1017,908,922,782,240,387,650,1073,1500,573,954,719,487
1015,918,782,752,842,1062,219,1114,959,922,591,431,387,635,1073,1372,572,1036,727,486
1015,892,776,784,772,1132,219,929,1144,922,573,444,387,608,1050,1371,650,1124,719,486
1015,633,885,934,771,1113,223,898,1191,877,591,339,387,562,1072,1332,701,1188,691,486
1015,606,851,995,771,1113,223,879,1160,906,516,427,391,545,1080,1318,650,1172,510,530
1015,529,927,990,527,1363,223,866,1173,906,510,433,384,545,1102,1241,767,1200,341,526
1036,527,929,977,434,1469,223,842,1197,906,500,417,357,545,1026,1213,777,1205,260,473
1036,527,929,969,358,1553,82,933,1247,736,634,446,346,530,1016,1279,642,1197,199,536
1039,502,947,976,358,1539,88,803,1385,653,717,446,345,528,1017,1151,487,1182,284,536
914,627,946,977,184,1666,124,782,1384,682,721,446,311,530,1017,1058,487,1182,293,536
836,705,947,961,118,1748,124,782,1384,635,768,446,247,525,1049,1020,490,1181,286,536
738,803,924,928,174,1748,122,681,1487,598,805,442,230,500,1091,782,491,1051,279,536
709,832,906,927,193,1748,122,656,1512,528,875,441,230,516,1091,550,491,1036,295,505
697,757,993,739,381,1736,134,642,1428,520,958,464,230,513,1091,564,491,1092,295,458
628,714,1105,490,630,1682,188,591,1468,517,950,486,230,513,1091,437,495,999,219,438
622,707,1122,489,609,1670,222,591,1468,382,1056,515,224,461,1075,438,541,839,219,468
591,777,1128,485,613,1391,501,591,1468,327,1104,522,224,461,1042,438,546,907,220,519
601,709,1196,421,677,1391,482,608,1470,302,977,674,225,460,1082,443,592,956,248,549
707,704,1279,416,682,1391,465,624,1456,317,977,674,246,429,1059,445,607,985,301,514
706,706,1278,423,682,1390,465,625,1456,317,976,675,258,429,1036,445,870,987,302,466
704,735,1278,422,683,1390,461,629,1456,317,964,687,270,479,1021,445,925,952,389,466
801,731,1320,422,683,1376,475,629,1346,427,960,691,229,518,817,445,980,952,389,467
914,698,1292,485,683,1320,531,629,1341,432,889,762,239,593,650,445,1012,1144,411,462
930,704,1293,485,683,1239,612,629,1341,432,829,822,239,726,549,443,1212,1147,433,456
1066,712,1213,565,683,1234,617,629,1341,432,818,832,240,745,482,443,1216,1147,443,437
1066,712,1198,580,683,1138,713,629,1213,557,815,817,431,746,440,434,1181,1147,511,434
1066,668,1242,580,683,1020,831,629,1191,571,823,805,444,746,387,434,1171,1157,582,439
988,746,1194,628,680,1022,832,532,1288,548,846,793,339,666,348,434,1171,1154,584,426
830,904,1186,636,680,1020,834,482,1338,538,856,793,427,605,339,434,1211,1141,700,457
775,959,1127,695,655,867,1012,482,941,876,915,783,433,609,279,406,1275,1128,710,511
720,1014,1045,697,715,878,1021,482,941,869,922,783,417,526,273,361,1382,1123,710,581
732,1015,947,758,747,860,1044,367,1017,908,922,782,446,558,273,342,1380,1051,696,640
732,1015,918,782,752,842,1062,219,1114,959,922,591,446,558,293,314,1419,980,688,720
777,1015,892,776,784,772,1132,219,929,1144,922,573,446,555,293,312,1435,924,686,733
880,1015,633,885,934,771,1113,223,898,1191,877,591,446,555,273,312,1402,859,726,743
999,1015,606,851,995,771,1113,223,879,1160,906,516,442,555,292,312,1469,817,754,696
1016,1015,529,927,990,527,1363,223,866,1173,906,510,441,568,271,286,1491,744,754,611
1042,1036,527,929,977,434,1469,223,842,1197,906,500,464,568,271,267,1457,707,754,565
1206,1036,527,929,969,358,1553,82,933,1247,736,634,486,567,314,198,1448,729,844,494
1294,1039,502,947,976,358,1539,88,803,1385,653,717,515,567,313,324,1448,769,807,546
1328,914,627,946,977,184,1666,124,782,1384,682,721,522,565,313,366,1448,769,794,604
1412,836,705,947,961,118,1748,124,782,1384,635,768,674,548,281,367,1445,820,934,683
1412,738,803,924,928,174,1748,122,681,1487,598,805,674,553,230,364,1444,897,937,744
1429,709,832,906,927,193,1748,122,656,1512,528,875,675,543,235,262,1444,874,921,761
1499,697,757,993,739,381,1736,134,642,1428,520,958,687,544,241,329,1469,823,921,761
1523,628,714,1105,490,630,1682,188,591,1468,517,950,691,550,266,322,1479,753,920,745
1519,622,707,1122,489,609,1670,222,591,1468,382,1056,762,554,266,321,1433,727,938,744
1509,591,777,1128,485,613,1391,501,591,1468,327,1104,822,560,263,321,1428,670,916,707
1499,601,709,1196,421,677,1391,482,608,1470,302,977,832,560,228,316,1382,668,890,694
1315,707,704,1279,416,682,1391,465,624,1456,317,977,817,573,168,317,1367,708,797,692
1308,706,706,1278,423,682,1390,465,625,1456,317,976,805,594,255,317,1105,758,793,691
1281,704,735,1278,422,683,1390,461,629,1456,317,964,793,529,251,317,1050,780,706,691
1146,801,731,1320,422,683,1376,475,629,1346,427,960,793,484,251,317,1091,851,728,690
1031,914,698,1292,485,683,1320,531,629,1341,432,889,783,369,251,317,1059,717,706,690
1008,930,704,1293,485,683,1239,612,629,1341,432,829,783,236,251,317,859,723,684,690
870,1066,712,1213,565,683,1234,617,629,1341,432,818,782,217,251,317,855,794,675,690
920,1066,712,1198,580,683,1138,713,629,1213,557,815,591,216,251,317,1089,819,610,710
955,1066,668,1242,580,683,1020,831,629,1191,571,823,573,216,290,317,1246,815,539,710
992,988,746,1194,628,680,1022,832,532,1288,548,846,591,216,362,317,1349,923,537,708
992,830,904,1186,636,680,1020,834,482,1338,538,856,516,187,396,317,1368,1135,420,705
1207,775,959,1127,695,655,867,1012,482,941,876,915,510,190,443,317,1260,1167,409,692
1211,720,1014,1045,697,715,878,1021,482,941,869,922,500,129,447,317,1130,1219,410,648
1219,732,1015,947,758,747,860,1044,367,1017,908,922,634,106,447,317,1130,1280,485,589
1224,732,1015,918,782,752,842,1062,219,1114,959,922,717,106,427,402,1080,1305,563,525
1179,777,1015,892,776,784,772,1132,219,929,1144,922,721,162,427,438,986,1272,572,539
1076,880,1015,633,885,934,771,1113,223,898,1191,877,768,184,425,438,960,1285,555,543
976,999,1015,606,851,995,771,1113,223,879,1160,906,805,189,394,440,857,1404,527,636
972,1016,1015,529,927,990,527,1363,223,866,1173,906,875,227,393,440,718,1400,655,636
954,1042,1036,527,929,977,434,1469,223,842,1197,906,958,252,385,471,694,1400,719,636
831,1206,1036,527,929,969,358,1553,82,933,1247,736,950,252,329,469,693,1378,645,636
740,1294,1039,502,947,976,358,1539,88,803,1385,653,1056,252,329,422,693,1338,598,584
706,1328,914,627,946,977,184,1666,124,782,1384,682,1104,252,415,409,693,1355,597,533
621,1412,836,705,947,961,118,1748,124,782,1384,635,977,252,417,409,693,1322,493,473
621,1412,738,803,924,928,174,1748,122,681,1487,598,977,263,453,409,693,1341,503,413
604,1429,709,832,906,927,193,1748,122,656,1512,528,976,265,517,410,693,1375,525,396
534,1499,697,757,993,739,381,1736,134,642,1428,520,964,318,526,282,668,1426,525,402
510,1523,628,714,1105,490,630,1682,188,591,1468,517,960,340,512,282,654,1424,525,462
510,1519,622,707,1122,489,609,1670,222,591,1468,382,889,342,529,282,654,1374,507,433
475,1509,591,777,1128,485,613,1391,501,591,1468,327,829,336,527,282,654,1441,506,419
475,1499,601,709,1196,421,677,1391,482,608,1470,302,818,336,523,285,654,1452,504,381
475,1315,707,704,1279,416,682,1391,465,624,1456,317,815,323,523,282,654,1384,565,395
475,1308,706,706,1278,423,682,1390,465,625,1456,317,823,302,436,282,653,1331,595,511
475,1281,704,735,1278,422,683,1390,461,629,1456,317,846,302,435,282,653,1309,651,555
475,1146,801,731,1320,422,683,1376,475,629,1346,427,856,302,435,282,585,1336,673,774
475,1031,914,698,1292,485,683,1320,531,629,1341,432,915,342,435,282,646,1330,710,787
475,1008,930,704,1293,485,683,1239,612,629,1341,432,922,383,435,282,706,1334,780,787
469,870,1066,712,1213,565,683,1234,617,629,1341,432,922,383,443,282,708,1263,781,787
419,920,1066,712,1198,580,683,1138,713,629,1213,557,922,406,472,282,530,1263,778,767
384,955,1066,668,1242,580,683,1020,831,629,1191,571,922,470,515,282,433,1267,781,762
347,992,988,746,1194,628,680,1022,832,532,1288,548,877,476,446,282,330,1161,781,784
347,992,830,904,1186,636,680,1020,834,482,1338,538,906,476,412,283,271,952,782,789
132,1207,775,959,1127,695,655,867,1012,482,941,876,906,460,514,284,267,920,782,773
128,1211,720,1014,1045,697,715,878,1021,482,941,869,906,463,510,284,267,868,860,773
107,1219,732,1015,947,758,747,860,1044,367,1017,908,736,455,510,284,267,1064,785,773
102,1224,732,1015,918,782,752,842,1062,219,1114,959,653,564,510,202,267,1087,707,757
102,1179,777,1015,892,776,784,772,1132,219,929,1144,682,568,510,287,295,1117,698,731
102,1076,880,1015,633,885,934,771,1113,223,898,1191,635,545,542,299,328,1123,675,712
83,976,999,1015,606,851,995,771,1113,223,879,1160,598,551,563,326,393,1057,675,619
136,972,1016,1015,529,927,990,527,1363,223,866,1173,528,500,569,370,405,1209,561,619
107,954,1042,1036,527,929,977,434,1469,223,842,1197,520,475,569,518,430,1209,497,619
66,831,1206,1036,527,929,969,358,1553,82,933,1247,517,475,571,525,465,1209,472,685
66,740,1294,1039,502,947,976,358,1539,88,803,1385,382,475,571,432,466,1288,468,685
66,706,1328,914,627,946,977,184,1666,124,782,1384,327,545,523,403,498,1271,518,678
90,621,1412,836,705,947,961,118,1748,124,782,1384,302,568,538,402,750,1253,482,661
92,621,1412,738,803,924,928,174,1748,122,681,1487,317,559,503,402,809,1157,506,663
92,604,1429,709,832,906,927,193,1748,122,656,1512,317,565,502,401,818,1123,542,668
198,534,1499,697,757,993,739,381,1736,134,642,1428,317,607,694,401,818,1058,546,693
279,510,1523,628,714,1105,490,630,1682,188,591,1468,427,590,892,405,818,1021,551,626
370,510,1519,622,707,1122,489,609,1670,222,591,1468,432,584,877,413,818,1013,551,626
370,475,1509,591,777,1128,485,613,1391,501,591,1468,432,584,877,413,818,929,551,675
398,475,1499,601,709,1196,421,677,1391,482,608,1470,432,584,984,410,820,871,554,681
413,475,1315,707,704,1279,416,682,1391,465,624,1456,557,584,984,452,820,870,579,673
433,475,1308,706,706,1278,423,682,1390,465,625,1456,571,677,992,464,833,870,550,595
444,475,1281,704,735,1278,422,683,1390,461,629,1456,548,766,992,500,869,881,494,551
479,475,1146,801,731,1320,422,683,1376,475,629,1346,538,766,992,500,841,787,450,332
638,475,1031,914,698,1292,485,683,1320,531,629,1341,876,726,992,506,780,779,438,319
724,475,1008,930,704,1293,485,683,1239,612,629,1341,869,685,992,574,720,769,389,327
724,469,870,1066,712,1213,565,683,1234,617,629,1341,908,685,984,821,827,785,409,368
762,419,920,1066,712,1198,580,683,1138,713,629,1213,959,662,955,1091,771,760,473,369
902,384,955,1066,668,1242,580,683,1020,831,629,1191,1144,723,873,1091,711,750,470,367
903,347,992,988,746,1194,628,680,1022,832,532,1288,1191,721,870,1121,711,748,591,343
903,347,992,830,904,1186,636,680,1020,834,482,1338,1160,722,870,1158,727,745,594,311
903,132,1207,775,959,1127,695,655,867,1012,482,941,1173,737,721,1157,739,745,594,286
903,128,1211,720,1014,1045,697,715,878,1021,482,941,1197,734,721,1247,745,745,523,260
951,107,1219,732,1015,947,758,747,860,1044,367,1017,1247,733,721,1247,756,474,557,260
1112,102,1224,732,1015,918,782,752,842,1062,219,1114,1385,624,721,1244,767,415,590,260
1159,102,1179,777,1015,892,776,784,772,1132,219,929,1384,563,721,1123,739,385,591,259
1177,102,1076,880,1015,633,885,934,771,1113,223,898,1384,563,689,1111,711,366,607,293
1183,83,976,999,1015,606,851,995,771,1113,223,879,1487,796,668,1179,646,312,624,293
1123,136,972,1016,1015,529,927,990,527,1363,223,866,1512,796,675,1135,634,157,756,316
1195,107,954,1042,1036,527,929,977,434,1469,223,842,1428,796,675,956,609,157,756,316
1443,66,831,1206,1036,527,929,969,358,1553,82,933,1468,796,673,949,574,159,756,250
1443,66,740,1294,1039,502,947,976,358,1539,88,803,1468,796,707,984,573,90,756,285
1443,66,706,1328,914,627,946,977,184,1666,124,782,1468,772,669,1005,559,117,769,396
1419,90,621,1412,836,705,947,961,118,1748,124,782,1470,749,710,1022,382,117,809,443
1417,92,621,1412,738,803,924,928,174,1748,122,681,1456,740,709,1046,334,117,997,487
1417,92,604,1429,709,832,906,927,193,1748,122,656,1456,758,640,1046,461,117,940,488
1311,198,534,1499,697,757,993,739,381,1736,134,642,1456,660,433,1046,461,208,936,517
1261,279,510,1523,628,714,1105,490,630,1682,188,591,1346,649,224,1131,465,222,931,540
1204,370,510,1519,622,707,1122,489,609,1670,222,591,1341,649,222,1123,488,222,938,540
1278,370,475,1509,591,777,1128,485,613,1391,501,591,1341,649,295,1161,504,356,947,491
1250,398,475,1499,601,709,1196,421,677,1391,482,608,1341,649,208,1161,517,364,944,485
1235,413,475,1315,707,704,1279,416,682,1391,465,624,1213,649,299,1120,523,364,858,492
1220,433,475,1308,706,706,1278,423,682,1390,465,625,1191,556,291,1108,510,364,857,822
1237,444,475,1281,704,735,1278,422,683,1390,461,629,1288,468,291,1240,474,353,857,822
1290,479,475,1146,801,731,1320,422,683,1376,475,629,1338,468,291,1240,476,666,857,822
1175,638,475,1031,914,698,1292,485,683,1320,531,629,941,468,291,1234,476,678,832,822
1213,724,475,1008,930,704,1293,485,683,1239,612,629,941,468,291,1230,476,748,811,814
1267,724,469,870,1066,712,1213,565,683,1234,617,629,1017,468,305,983,367,733,789,773
1230,762,419,920,1066,712,1198,580,683,1138,713,629,1114,468,326,713,367,733,725,770
1122,902,384,955,1066,668,1242,580,683,1020,831,629,929,343,326,713,367,733,725,779
