Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
674,420,690,580,573,811,418,2138,520,1252
670,428,690,580,647,789,418,2154,515,1231
634,491,690,628,665,715,496,2127,515,1226
634,491,680,636,680,651,555,2080,515,1235
640,491,680,695,675,742,561,2049,480,1142
642,491,826,697,632,733,563,2049,480,1159
648,491,832,758,572,594,563,2034,479,1172
657,510,856,782,539,607,563,1984,465,1242
720,510,855,776,486,619,565,1742,535,1354
729,511,873,885,482,629,592,1731,494,1467
737,515,873,851,520,592,592,1697,512,1467
737,515,893,927,518,592,624,1406,551,1550
737,515,937,929,542,616,673,1228,611,1616
573,679,946,929,569,499,717,1123,631,1650
570,682,946,947,593,481,695,1132,631,1643
550,702,716,946,593,440,680,1141,713,1642
527,760,707,947,593,438,678,1144,796,1483
553,734,826,924,499,457,501,1209,788,1503
508,689,1158,906,607,452,492,1188,801,1409
561,637,1221,993,619,399,432,1005,812,1355
654,611,1252,1105,666,326,409,953,856,1303
778,609,1270,1122,671,317,409,935,898,1297
848,542,1373,1128,668,317,409,935,898,1228
842,505,1403,1196,668,275,409,872,844,1244
841,506,1452,1279,699,275,409,849,715,1164
854,457,1500,1278,699,274,409,731,562,1110
743,569,1412,1278,689,228,409,702,559,1242
694,618,1394,1320,689,218,415,515,559,1276
644,668,1362,1292,687,218,433,504,559,1290
636,674,1362,1293,677,216,549,504,536,1181
641,674,1306,1213,677,216,648,469,536,1251
641,674,1296,1198,689,216,612,479,535,1263
637,670,1296,1242,680,272,612,437,535,1249
637,634,1296,1194,667,356,534,338,535,1247
643,634,1296,1186,660,440,475,331,535,1271
642,640,1296,1127,680,344,477,331,537,1272
661,642,1150,1045,680,344,574,387,537,1240
657,648,1144,947,680,344,587,412,552,1227
630,657,1106,918,672,346,587,511,564,1157
567,720,1106,892,672,365,608,509,493,1046
557,729,1088,633,672,402,581,524,496,903
541,737,1088,606,634,419,585,530,547,962
541,737,1090,529,642,419,553,572,508,918
541,737,1047,527,645,395,588,619,496,884
541,573,1040,527,629,411,567,624,609,854
541,570,1108,502,606,411,567,758,763,869
541,550,1111,627,640,411,565,841,681,869
520,527,1108,705,704,433,521,875,598,870
444,553,989,803,721,441,521,1048,582,946
436,508,657,832,595,428,522,1354,569,939
383,561,610,757,502,433,522,1398,558,948
290,654,580,714,386,433,522,1532,514,1147
169,778,667,707,336,485,538,1532,472,1391
99,848,588,777,314,485,576,1532,472,1343
98,842,546,709,314,486,577,1532,472,1240
98,841,497,704,278,517,660,1532,472,1221
85,854,389,706,278,517,683,1532,472,1222
84,743,367,735,278,532,703,1532,472,1104
84,694,411,731,319,538,901,1532,472,1070
84,644,430,698,319,578,1050,1527,472,1056
84,636,430,704,319,578,1017,1528,472,1020
88,641,434,712,319,578,985,1521,472,898
88,641,448,712,307,578,1026,1493,507,881
88,637,534,668,247,522,1079,1489,517,868
81,637,654,746,374,515,1118,1489,517,871
263,643,683,904,374,513,1127,1489,517,851
365,642,690,959,354,506,1179,1517,563,863
356,661,694,1014,380,650,1086,1506,586,868
354,657,748,1015,387,650,1073,1500,573,954
381,630,803,1015,387,635,1073,1372,572,1036
750,567,803,1015,387,608,1050,1371,650,1124
750,557,815,1015,387,562,1072,1332,701,1188
750,541,815,1015,391,545,1080,1318,650,1172
750,541,793,1015,384,545,1102,1241,767,1200
750,541,792,1036,357,545,1026,1213,777,1205
750,541,790,1036,346,530,1016,1279,642,1197
750,541,722,1039,345,528,1017,1151,487,1182
750,541,746,914,311,530,1017,1058,487,1182
736,520,780,836,247,525,1049,1020,490,1181
736,444,991,738,230,500,1091,782,491,1051
764,436,994,709,230,516,1091,550,491,1036
771,383,978,697,230,513,1091,564,491,1092
778,290,1049,628,230,513,1091,437,495,999
775,169,1086,622,224,461,1075,438,541,839
775,99,1304,591,224,461,1042,438,546,907
786,98,1243,601,225,460,1082,443,592,956
786,98,1240,707,246,429,1059,445,607,985
888,85,1200,706,258,429,1036,445,870,987
1042,84,1199,704,270,479,1021,445,925,952
1063,84,1145,801,229,518,817,445,980,952
1083,84,1126,914,239,593,650,445,1012,1144
1086,84,1126,930,239,726,549,443,1212,1147
1077,88,1122,1066,240,745,482,443,1216,1147
1080,88,1108,1066,431,746,440,434,1181,1147
1148,88,1022,1066,444,746,387,434,1171,1157
1139,81,902,988,339,666,348,434,1171,1154
951,263,873,830,427,605,339,434,1211,1141
848,365,866,775,433,609,279,406,1275,1128
837,356,884,720,417,526,273,361,1382,1123
837,354,830,732,446,558,273,342,1380,1051
835,381,775,732,446,558,293,314,1419,980
485,750,775,777,446,555,293,312,1435,924
485,750,763,880,446,555,273,312,1402,859
485,750,776,999,442,555,292,312,1469,817
485,750,835,1016,441,568,271,286,1491,744
489,750,835,1042,464,568,271,267,1457,707
489,750,914,1206,486,567,314,198,1448,729
508,750,1079,1294,515,567,313,324,1448,769
510,750,1071,1328,522,565,313,366,1448,769
510,736,1087,1412,674,548,281,367,1445,820
632,736,920,1412,674,553,230,364,1444,897
672,764,917,1429,675,543,235,262,1444,874
720,771,917,1499,687,544,241,329,1469,823
713,778,846,1523,691,550,266,322,1479,753
765,775,704,1519,762,554,266,321,1433,727
780,775,463,1509,822,560,263,321,1428,670
837,786,513,1499,832,560,228,316,1382,668
838,786,715,1315,817,573,168,317,1367,708
743,888,786,1308,805,594,255,317,1105,758
592,1042,812,1281,793,529,251,317,1050,780
571,1063,863,1146,793,484,251,317,1091,851
551,1083,892,1031,783,369,251,317,1059,717
548,1086,1008,1008,783,236,251,317,859,723
548,1077,1018,870,782,217,251,317,855,794
545,1080,1018,920,591,216,251,317,1089,819
477,1148,1022,955,573,216,290,317,1246,815
466,1139,1055,992,591,216,362,317,1349,923
466,951,1231,992,516,187,396,317,1368,1135
462,848,1254,1207,510,190,443,317,1260,1167
534,837,1232,1211,500,129,447,317,1130,1219
547,837,1251,1219,634,106,447,317,1130,1280
571,835,1251,1224,717,106,427,402,1080,1305
600,485,1256,1179,721,162,427,438,986,1272
622,485,1327,1076,768,184,425,438,960,1285
648,485,1358,976,805,189,394,440,857,1404
654,485,1299,972,875,227,393,440,718,1400
650,489,1306,954,958,252,385,471,694,1400
650,489,1233,831,950,252,329,469,693,1378
631,508,1068,740,1056,252,329,422,693,1338
629,510,1040,706,1104,252,415,409,693,1355
629,510,989,621,977,252,417,409,693,1322
507,632,945,621,977,263,453,409,693,1341
439,672,977,604,976,265,517,410,693,1375
384,720,1094,534,964,318,526,282,668,1426
388,713,1112,510,960,340,512,282,654,1424
340,765,1112,510,889,342,529,282,654,1374
326,780,1158,475,829,336,527,282,654,1441
258,837,1108,475,818,336,523,285,654,1452
257,838,917,475,815,323,523,282,654,1384
250,743,852,475,823,302,436,282,653,1331
247,592,888,475,846,302,435,282,653,1309
247,571,930,475,856,302,435,282,585,1336
247,551,927,475,915,342,435,282,646,1330
290,548,811,475,922,383,435,282,706,1334
492,548,801,469,922,383,443,282,708,1263
578,545,803,419,922,406,472,282,530,1263
578,477,857,384,922,470,515,282,433,1267
578,466,825,347,877,476,446,282,330,1161
578,466,696,347,906,476,412,283,271,952
578,462,673,132,906,460,514,284,267,920
505,534,685,128,906,463,510,284,267,868
492,547,674,107,736,455,510,284,267,1064
448,571,674,102,653,564,510,202,267,1087
471,600,669,102,682,568,510,287,295,1117
451,622,598,102,635,545,542,299,328,1123
479,648,716,83,598,551,563,326,393,1057
473,654,724,136,528,500,569,370,405,1209
473,650,730,107,520,475,569,518,430,1209
473,650,747,66,517,475,571,525,465,1209
473,631,747,66,382,475,571,432,466,1288
473,629,747,66,327,545,523,403,498,1271
473,629,747,90,302,568,538,402,750,1253
475,507,747,92,317,559,503,402,809,1157
475,439,715,92,317,565,502,401,818,1123
475,384,598,198,317,607,694,401,818,1058
476,388,579,279,427,590,892,405,818,1021
540,340,579,370,432,584,877,413,818,1013
683,326,532,370,432,584,877,413,818,929
721,258,532,398,432,584,984,410,820,871
776,257,521,413,557,584,984,452,820,870
776,250,515,433,571,677,992,464,833,870
935,247,453,444,548,766,992,500,869,881
983,247,360,479,538,766,992,500,841,787
983,247,392,638,876,726,992,506,780,779
945,290,418,724,869,685,992,574,720,769
743,492,423,724,908,685,984,821,827,785
662,578,437,762,959,662,955,1091,771,760
662,578,379,902,1144,723,873,1091,711,750
703,578,378,903,1191,721,870,1121,711,748
703,578,331,903,1160,722,870,1158,727,745
703,578,331,903,1173,737,721,1157,739,745
703,505,326,903,1197,734,721,1247,745,745
703,492,321,951,1247,733,721,1247,756,474
709,448,330,1112,1385,624,721,1244,767,415
639,471,367,1159,1384,563,721,1123,739,385
648,451,386,1177,1384,563,689,1111,711,366
594,479,291,1183,1487,796,668,1179,646,312
594,473,354,1123,1512,796,675,1135,634,157
594,473,341,1195,1428,796,675,956,609,157
594,473,318,1443,1468,796,673,949,574,159
594,473,330,1443,1468,796,707,984,573,90
594,473,345,1443,1468,772,669,1005,559,117
594,473,345,1419,1470,749,710,1022,382,117
592,475,567,1417,1456,740,709,1046,334,117
650,475,653,1417,1456,758,640,1046,461,117
685,475,658,1311,1456,660,433,1046,461,208
684,476,658,1261,1346,649,224,1131,465,222
661,540,658,1204,1341,649,222,1123,488,222
711,683,658,1278,1341,649,295,1161,504,356
757,721,658,1250,1341,649,208,1161,517,364
702,776,746,1235,1213,649,299,1120,523,364
702,776,746,1220,1191,556,291,1108,510,364
543,935,824,1237,1288,468,291,1240,474,353
879,983,841,1290,1338,468,291,1240,476,666
879,983,836,1175,941,468,291,1234,476,678
874,945,810,1213,941,468,291,1230,476,748
874,743,805,1267,1017,468,305,983,367,733
869,662,846,1230,1114,468,326,713,367,733
882,662,848,1122,929,343,326,713,367,733
889,703,848,1173,898,339,327,683,367,733
889,703,876,1266,879,338,423,645,351,733
889,703,876,1383,866,323,423,645,339,733
889,703,869,1425,842,323,444,555,333,733
905,703,1109,1448,933,325,444,555,322,733
893,709,1100,1409,803,326,444,555,311,757
892,639,1063,1376,782,326,444,555,311,791
881,648,1044,1399,782,376,444,555,330,791
888,594,977,1401,681,334,444,458,330,791
888,594,906,1398,656,392,431,484,330,793
888,594,906,1374,642,456,484,523,340,793
888,594,1077,1320,591,505,587,549,408,791
888,594,1153,1495,591,505,568,537,492,781
888,594,1138,1529,591,493,606,611,474,754
888,594,1138,1589,608,507,548,594,415,772
898,592,916,1618,624,759,548,570,406,929
892,650,870,1618,625,772,623,570,270,937
896,685,895,1713,629,848,671,570,270,846
933,684,895,1689,629,848,695,481,274,832
888,661,900,1656,629,848,705,481,465,854
694,711,967,1583,629,848,634,443,449,721
655,757,971,1591,629,848,614,443,436,759
750,702,883,1593,629,848,523,442,524,1039
750,702,883,1588,629,848,523,442,538,1156
750,543,805,1560,532,847,523,274,541,1165
366,879,808,1472,482,847,523,281,539,848
471,879,765,1428,482,847,525,281,561,834
490,874,766,1304,482,957,661,217,561,820
508,874,832,1307,367,957,715,217,561,890
511,869,820,1382,219,1024,724,232,561,893
498,882,821,1417,219,1024,776,392,561,893
508,889,821,1369,223,1024,775,392,561,893
705,889,793,1313,223,1027,679,392,564,909
727,889,793,1197,223,1076,679,396,569,909
727,889,793,1155,223,1093,681,398,571,909
711,905,622,1084,82,1091,689,471,571,909
749,893,801,962,88,1134,689,493,571,885
749,892,854,992,124,1273,689,493,571,851
754,881,854,995,124,1657,689,493,547,851
747,888,854,987,122,1456,689,532,557,851
747,888,854,984,122,1398,689,506,598,849
747,888,869,936,134,1334,636,467,605,849
786,888,704,834,188,1285,533,441,600,853
786,888,690,659,222,1286,525,417,555,902
786,888,904,625,501,1252,506,322,593,930
786,888,904,565,482,1297,506,322,577,947
776,898,904,840,465,1045,506,322,594,856
743,892,864,881,465,1055,454,322,594,1001
704,896,879,810,461,1007,406,322,596,1002
663,933,879,899,475,1007,382,322,622,1003
832,888,874,907,531,1007,499,322,466,993
855,694,828,906,612,1019,497,322,469,992
810,655,877,903,617,1032,567,322,467,946
935,750,880,901,713,1135,654,322,373,666
935,750,880,901,831,1249,682,322,359,549
935,750,888,952,832,1249,682,322,356,540
935,366,869,1009,834,1249,863,315,356,589
830,471,865,1035,1012,1249,900,494,334,551
811,490,864,1035,1021,1139,995,623,334,525
793,508,839,1028,1044,1160,927,623,363,458
790,511,812,963,1062,1093,1010,608,371,455
793,498,809,974,1132,1093,982,448,424,455
735,508,922,1304,1113,1093,982,448,427,455
538,705,922,1268,1113,1092,983,448,464,439
516,727,941,1267,1363,1044,1022,444,542,439
533,727,943,1267,1469,1087,1097,442,544,439
533,711,871,1267,1553,1087,1112,369,663,439
495,749,692,1267,1539,1043,1124,347,956,439
495,749,639,1223,1666,904,1221,356,967,439
490,754,639,1179,1748,470,1249,506,1206,439
490,747,639,1179,1748,469,1278,473,1196,454
490,747,639,1179,1748,469,1278,473,1155,469
591,747,627,1179,1736,469,1278,473,1138,469
552,786,685,1087,1682,469,1278,473,1075,465
626,786,687,1196,1670,468,1271,473,1055,527
816,786,473,1202,1391,468,1252,473,1043,569
819,786,683,1207,1391,409,1252,473,1043,535
819,776,741,912,1391,409,1252,482,1024,647
800,743,758,871,1390,354,1229,629,1024,519
800,704,713,847,1390,326,1229,629,1022,545
800,663,713,751,1376,327,1229,629,989,574
631,832,713,771,1320,658,1233,658,1126,568
608,855,707,772,1239,759,1239,658,1123,575
608,810,1057,767,1234,776,1167,658,1123,577
389,935,1283,767,1138,673,1081,658,1123,709
482,935,1283,767,1020,560,1053,658,1123,711
482,935,1275,716,1022,610,1056,658,1123,794
482,935,1274,659,1020,652,875,658,1123,782
482,830,1268,710,867,652,836,479,1123,778
482,811,1268,729,878,652,641,350,1123,745
482,793,1227,679,860,631,641,350,1094,1020
576,790,1209,668,842,631,539,350,1086,1022
573,793,1209,590,772,631,518,350,1033,1024
573,735,1096,256,771,631,537,382,1144,1024
573,538,1100,255,771,629,654,388,1112,1024
573,516,1081,312,527,628,620,388,1029,1024
556,533,1079,312,434,575,562,388,1060,1024
556,533,1079,312,358,575,539,388,1025,1123
556,495,1079,479,358,586,549,390,742,1123
556,495,1079,489,184,596,453,400,731,1123
556,490,1079,530,118,613,427,250,492,1158
556,490,1155,530,174,652,456,244,492,1143
556,490,1253,530,193,825,456,285,492,1203
455,591,1302,544,381,842,456,369,492,1372
455,552,1264,549,630,842,456,399,493,1419
381,626,1190,440,609,842,456,399,474,1309
396,816,1257,434,613,842,509,410,502,1241
432,819,1091,429,677,842,512,481,515,1272
458,819,1033,420,682,842,518,627,515,1114
476,800,1065,420,682,842,537,517,515,1096
476,800,1065,425,683,843,551,517,515,1069
568,800,1065,476,683,842,551,518,514,1039
694,631,1065,447,683,511,420,491,319,1034
740,608,1052,446,683,398,414,491,337,1027
740,608,649,446,683,368,425,491,340,1025
739,389,420,446,683,368,456,491,340,901
646,482,428,446,683,367,478,491,370,904
648,482,491,446,680,317,552,491,496,821
650,482,491,456,680,275,624,491,550,784
650,482,491,379,655,280,645,491,581,819
650,482,491,360,715,323,618,491,581,819
650,482,491,360,747,383,757,491,596,541
556,576,510,374,752,424,746,491,703,553
556,573,510,375,784,477,743,491,950,552
558,573,511,375,934,481,724,459,871,598
600,573,515,375,995,481,643,453,905,616
605,573,515,318,990,483,638,453,1257,616
605,556,515,318,977,476,598,453,1400,616
605,556,679,318,969,476,715,453,1421,529
605,556,682,151,976,465,713,473,1411,530
605,556,702,380,977,455,753,471,1412,530
605,556,760,352,961,438,753,517,1413,495
605,556,734,352,928,493,695,703,1416,519
639,556,689,352,927,338,713,671,1465,444
684,455,637,338,739,402,766,647,1651,275
761,455,611,333,490,471,839,640,1702,228
942,381,609,333,489,522,848,640,1720,227
771,396,542,333,485,547,795,629,1666,225
740,432,505,406,421,547,834,558,1716,247
806,458,506,409,416,552,828,403,1739,356
788,476,457,509,423,552,810,366,1857,502
845,476,569,615,422,561,842,366,1886,505
797,568,618,592,422,561,852,365,2073,505
671,694,668,624,485,563,852,363,2089,504
628,740,674,624,485,573,854,381,2072,527
629,740,674,680,565,573,843,381,2111,527
639,739,674,690,580,573,811,418,2138,520
642,646,670,690,580,647,789,418,2154,515
802,648,634,690,628,665,715,496,2127,515
955,650,634,680,636,680,651,555,2080,515
955,650,640,680,695,675,742,561,2049,480
955,650,642,826,697,632,733,563,2049,480
955,650,648,832,758,572,594,563,2034,479
955,556,657,856,782,539,607,563,1984,465
959,556,720,855,776,486,619,565,1742,535
1143,558,729,873,885,482,629,592,1731,494
1155,600,737,873,851,520,592,592,1697,512
1187,605,737,893,927,518,592,624,1406,551
1189,605,737,937,929,542,616,673,1228,611
1349,605,573,946,929,569,499,717,1123,631
1453,605,570,946,947,593,481,695,1132,631
1547,605,550,716,946,593,440,680,1141,713
1547,605,527,707,947,593,438,678,1144,796
1558,605,553,826,924,499,457,501,1209,788
1538,639,508,1158,906,607,452,492,1188,801
1549,684,561,1221,993,619,399,432,1005,812
1473,761,654,1252,1105,666,326,409,953,856
1367,942,778,1270,1122,671,317,409,935,898
1388,771,848,1373,1128,668,317,409,935,898
1416,740,842,1403,1196,668,275,409,872,844
1408,806,841,1452,1279,699,275,409,849,715
1425,788,854,1500,1278,699,274,409,731,562
1467,845,743,1412,1278,689,228,409,702,559
1437,797,694,1394,1320,689,218,415,515,559
1438,671,644,1362,1292,687,218,433,504,559
1438,628,636,1362,1293,677,216,549,504,536
1437,629,641,1306,1213,677,216,648,469,536
1427,639,641,1296,1198,689,216,612,479,535
1424,642,637,1296,1242,680,272,612,437,535
1262,802,637,1296,1194,667,356,534,338,535
1107,955,643,1296,1186,660,440,475,331,535
1112,955,642,1296,1127,680,344,477,331,537
1119,955,661,1150,1045,680,344,574,387,537
1143,955,657,1144,947,680,344,587,412,552
1316,955,630,1106,918,672,346,587,511,564
1323,959,567,1106,892,672,365,608,509,493
1214,1143,557,1088,633,672,402,581,524,496
1217,1155,541,1088,606,634,419,585,530,547
1180,1187,541,1090,529,642,419,553,572,508
1209,1189,541,1047,527,645,395,588,619,496
1049,1349,541,1040,527,629,411,567,624,609
1079,1453,541,1108,502,606,411,567,758,763
1040,1547,541,1111,627,640,411,565,841,681
1127,1547,520,1108,705,704,433,521,875,598
1119,1558,444,989,803,721,441,521,1048,582
1106,1538,436,657,832,595,428,522,1354,569
1050,1549,383,610,757,502,433,522,1398,558
1049,1473,290,580,714,386,433,522,1532,514
974,1367,169,667,707,336,485,538,1532,472
919,1388,99,588,777,314,485,576,1532,472
886,1416,98,546,709,314,486,577,1532,472
802,1408,98,497,704,278,517,660,1532,472
798,1425,85,389,706,278,517,683,1532,472
706,1467,84,367,735,278,532,703,1532,472
692,1437,84,411,731,319,538,901,1532,472
691,1438,84,430,698,319,578,1050,1527,472
709,1438,84,430,704,319,578,1017,1528,472
709,1437,88,434,712,319,578,985,1521,472
709,1427,88,448,712,307,578,1026,1493,507
774,1424,88,534,668,247,522,1079,1489,517
845,1262,81,654,746,374,515,1118,1489,517
845,1107,263,683,904,374,513,1127,1489,517
840,1112,365,690,959,354,506,1179,1517,563
833,1119,356,694,1014,380,650,1086,1506,586
815,1143,354,748,1015,387,650,1073,1500,573
645,1316,381,803,1015,387,635,1073,1372,572
634,1323,750,803,1015,387,608,1050,1371,650
602,1214,750,815,1015,387,562,1072,1332,701
549,1217,750,815,1015,391,545,1080,1318,650
549,1180,750,793,1015,384,545,1102,1241,767
519,1209,750,792,1036,357,545,1026,1213,777
535,1049,750,790,1036,346,530,1016,1279,642
468,1079,750,722,1039,345,528,1017,1151,487
417,1040,750,746,914,311,530,1017,1058,487
351,1127,736,780,836,247,525,1049,1020,490
357,1119,736,991,738,230,500,1091,782,491
441,1106,764,994,709,230,516,1091,550,491
604,1050,771,978,697,230,513,1091,564,491
607,1049,778,1049,628,230,513,1091,437,495
644,974,775,1086,622,224,461,1075,438,541
644,919,775,1304,591,224,461,1042,438,546
641,886,786,1243,601,225,460,1082,443,592
641,802,786,1240,707,246,429,1059,445,607
628,798,888,1200,706,258,429,1036,445,870
621,706,1042,1199,704,270,479,1021,445,925
622,692,1063,1145,801,229,518,817,445,980
622,691,1083,1126,914,239,593,650,445,1012
601,709,1086,1126,930,239,726,549,443,1212
620,709,1077,1122,1066,240,745,482,443,1216
627,709,1080,1108,1066,431,746,440,434,1181
562,774,1148,1022,1066,444,746,387,434,1171
517,845,1139,902,988,339,666,348,434,1171
556,845,951,873,830,427,605,339,434,1211
556,840,848,866,775,433,609,279,406,1275
556,833,837,884,720,417,526,273,361,1382
570,815,837,830,732,446,558,273,342,1380
574,645,835,775,732,446,558,293,314,1419
708,634,485,775,777,446,555,293,312,1435
708,602,485,763,880,446,555,273,312,1402
749,549,485,776,999,442,555,292,312,1469
778,549,485,835,1016,441,568,271,286,1491
804,519,489,835,1042,464,568,271,267,1457
982,535,489,914,1206,486,567,314,198,1448
935,468,508,1079,1294,515,567,313,324,1448
931,417,510,1071,1328,522,565,313,366,1448
910,351,510,1087,1412,674,548,281,367,1445
901,357,632,920,1412,674,553,230,364,1444
816,441,672,917,1429,675,543,235,262,1444
692,604,720,917,1499,687,544,241,329,1469
689,607,713,846,1523,691,550,266,322,1479
652,644,765,704,1519,762,554,266,321,1433
652,644,780,463,1509,822,560,263,321,1428
652,641,837,513,1499,832,560,228,316,1382
652,641,838,715,1315,817,573,168,317,1367
652,628,743,786,1308,805,594,255,317,1105
652,621,592,812,1281,793,529,251,317,1050
651,622,571,863,1146,793,484,251,317,1091
651,622,551,892,1031,783,369,251,317,1059
651,601,548,1008,1008,783,236,251,317,859
632,620,548,1018,870,782,217,251,317,855
625,627,545,1018,920,591,216,251,317,1089
628,562,477,1022,955,573,216,290,317,1246
782,517,466,1055,992,591,216,362,317,1349
820,556,466,1231,992,516,187,396,317,1368
824,556,462,1254,1207,510,190,443,317,1260
824,556,534,1232,1211,500,129,447,317,1130
804,570,547,1251,1219,634,106,447,317,1130
797,574,571,1251,1224,717,106,427,402,1080
790,708,600,1256,1179,721,162,427,438,986
807,708,622,1327,1076,768,184,425,438,960
784,749,648,1358,976,805,189,394,440,857
816,778,654,1299,972,875,227,393,440,718
821,804,650,1306,954,958,252,385,471,694
645,982,650,1233,831,950,252,329,469,693
628,935,631,1068,740,1056,252,329,422,693
688,931,629,1040,706,1104,252,415,409,693
697,910,629,989,621,977,252,417,409,693
736,901,507,945,621,977,263,453,409,693
739,816,439,977,604,976,265,517,410,693
700,692,384,1094,534,964,318,526,282,668
700,689,388,1112,510,960,340,512,282,654
725,652,340,1112,510,889,342,529,282,654
725,652,326,1158,475,829,336,527,282,654
725,652,258,1108,475,818,336,523,285,654
725,652,257,917,475,815,323,523,282,654
731,652,250,852,475,823,302,436,282,653
735,652,247,888,475,846,302,435,282,653
735,651,247,930,475,856,302,435,282,585
735,651,247,927,475,915,342,435,282,646
735,651,290,811,475,922,383,435,282,706
735,632,492,801,469,922,383,443,282,708
735,625,578,803,419,922,406,472,282,530
732,628,578,857,384,922,470,515,282,433
552,782,578,825,347,877,476,446,282,330
475,820,578,696,347,906,476,412,283,271
471,824,578,673,132,906,460,514,284,267
471,824,505,685,128,906,463,510,284,267
471,804,492,674,107,736,455,510,284,267
500,797,448,674,102,653,564,510,202,267
373,790,471,669,102,682,568,510,287,295
311,807,451,598,102,635,545,542,299,328
289,784,479,716,83,598,551,563,326,393
228,816,473,724,136,528,500,569,370,405
198,821,473,730,107,520,475,569,518,430
190,645,473,747,66,517,475,571,525,465
275,628,473,747,66,382,475,571,432,466
276,688,473,747,66,327,545,523,403,498
267,697,473,747,90,302,568,538,402,750
228,736,475,747,92,317,559,503,402,809
486,739,475,715,92,317,565,502,401,818
507,700,475,598,198,317,607,694,401,818
507,700,476,579,279,427,590,892,405,818
533,725,540,579,370,432,584,877,413,818
533,725,683,532,370,432,584,877,413,818
632,725,721,532,398,432,584,984,410,820
632,725,776,521,413,557,584,984,452,820
626,731,776,515,433,571,677,992,464,833
627,735,935,453,444,548,766,992,500,869
627,735,983,360,479,538,766,992,500,841
627,735,983,392,638,876,726,992,506,780
693,735,945,418,724,869,685,992,574,720
693,735,743,423,724,908,685,984,821,827
693,735,662,437,762,959,662,955,1091,771
693,732,662,379,902,1144,723,873,1091,711
693,552,703,378,903,1191,721,870,1121,711
693,475,703,331,903,1160,722,870,1158,727
693,471,703,331,903,1173,737,721,1157,739
693,471,703,326,903,1197,734,721,1247,745
765,471,703,321,951,1247,733,721,1247,756
866,500,709,330,1112,1385,624,721,1244,767
871,373,639,367,1159,1384,563,721,1123,739
893,311,648,386,1177,1384,563,689,1111,711
972,289,594,291,1183,1487,796,668,1179,646
1100,228,594,354,1123,1512,796,675,1135,634
1106,198,594,341,1195,1428,796,675,956,609
1096,190,594,318,1443,1468,796,673,949,574
1008,275,594,330,1443,1468,796,707,984,573
947,276,594,345,1443,1468,772,669,1005,559
947,267,594,345,1419,1470,749,710,1022,382
947,228,592,567,1417,1456,740,709,1046,334
940,486,650,653,1417,1456,758,640,1046,461
919,507,685,658,1311,1456,660,433,1046,461
1062,507,684,658,1261,1346,649,224,1131,465
1073,533,661,658,1204,1341,649,222,1123,488
1164,533,711,658,1278,1341,649,295,1161,504
1100,632,757,658,1250,1341,649,208,1161,517
1129,632,702,746,1235,1213,649,299,1120,523
1129,626,702,746,1220,1191,556,291,1108,510
1151,627,543,824,1237,1288,468,291,1240,474
1151,627,879,841,1290,1338,468,291,1240,476
1151,627,879,836,1175,941,468,291,1234,476
1151,693,874,810,1213,941,468,291,1230,476
1151,693,874,805,1267,1017,468,305,983,367
1158,693,869,846,1230,1114,468,326,713,367
1160,693,882,848,1122,929,343,326,713,367
1160,693,889,848,1173,898,339,327,683,367
1160,693,889,876,1266,879,338,423,645,351
1160,693,889,876,1383,866,323,423,645,339
1160,693,889,869,1425,842,323,444,555,333
1088,765,905,1109,1448,933,325,444,555,322
958,866,893,1100,1409,803,326,444,555,311
953,871,892,1063,1376,782,326,444,555,311
931,893,881,1044,1399,782,376,444,555,330
852,972,888,977,1401,681,334,444,458,330
724,1100,888,906,1398,656,392,431,484,330
716,1106,888,906,1374,642,456,484,523,340
716,1096,888,1077,1320,591,505,587,549,408
716,1008,888,1153,1495,591,505,568,537,492
716,947,888,1138,1529,591,493,606,611,474
716,947,888,1138,1589,608,507,548,594,415
716,947,898,916,1618,624,759,548,570,406
462,940,892,870,1618,625,772,623,570,270
462,919,896,895,1713,629,848,671,570,270
319,1062,933,895,1689,629,848,695,481,274
340,1073,888,900,1656,629,848,705,481,465
378,1164,694,967,1583,629,848,634,443,449
344,1100,655,971,1591,629,848,614,443,436
315,1129,750,883,1593,629,848,523,442,524
319,1129,750,883,1588,629,848,523,442,538
299,1151,750,805,1560,532,847,523,274,541
304,1151,366,808,1472,482,847,523,281,539
304,1151,471,765,1428,482,847,525,281,561
238,1151,490,766,1304,482,957,661,217,561
238,1151,508,832,1307,367,957,715,217,561
231,1158,511,820,1382,219,1024,724,232,561
267,1160,498,821,1417,219,1024,776,392,561
272,1160,508,821,1369,223,1024,775,392,561
276,1160,705,793,1313,223,1027,679,392,564
276,1160,727,793,1197,223,1076,679,396,569
276,1160,727,793,1155,223,1093,681,398,571
317,1088,711,622,1084,82,1091,689,471,571
317,958,749,801,962,88,1134,689,493,571
447,953,749,854,992,124,1273,689,493,571
468,931,754,854,995,124,1657,689,493,547
468,852,747,854,987,122,1456,689,532,557
471,724,747,854,984,122,1398,689,506,598
471,716,747,869,936,134,1334,636,467,605
494,716,786,704,834,188,1285,533,441,600
494,716,786,690,659,222,1286,525,417,555
536,716,786,904,625,501,1252,506,322,593
597,716,786,904,565,482,1297,506,322,577
597,716,776,904,840,465,1045,506,322,594
597,462,743,864,881,465,1055,454,322,594
605,462,704,879,810,461,1007,406,322,596
